Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.00521401338861173,-0.00155276699509768,-0.00229456262051442,0,0,0,4.35875423640403,0.00839010725160734,6.98895115102314E-06,-2.44609508583441E-07,0.00739329742949137,-5.67912041735538E-06,0.0107038668030376,0,0,0,0,0,0,package://svan_metal/meshes/base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://svan_metal/meshes/base.STL,,M3_torso1nihal-1;Top_sheet_m3_2nihal-1;M3_torso1nihal-2;M3_torso_3nihal-1;A2M3nihal-1;A2M3nihal-2;A2M3nihal-4;A2M3nihal-6;Torso_Subassembly_4nihal-1;Battery_Holder_M3nihal-1;Tattu_battery_m33nihal-1;Jetson_orin_Nano_m3M3nihal-1;Jetson_orin_Nano_m3M3nihal-2;M3_torso_5nihal-1;M3_torso_6nihal-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_abd_l,0.0424482409636257,0.0775888101222774,0.000761258582501707,0,0,0,1.17555574137517,0.000455949143802868,-1.37161711561023E-06,1.11756188357673E-06,0.000755927689182405,9.44884366011334E-09,0.000436097751864308,0,0,0,0,0,0,package://svan_metal/meshes/fl_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_metal/meshes/fl_abd_l.STL,,Knee_actuatorM3_avnihal-5;Hip_actuatorM3_avnihal-5;Hip link mount_M2Pnihal-5;F688ZZ_16x8x5)bearingnihal-5;M3x10_countershunknihal-13;IS 2269 - M3 x 6-N-17;act_mount_3nihal-5;M3X8 Button allen headnihal-26;M3X8 Button allen headnihal-27;abd_couple_M2Pnihal-8;6800Z_19x10x5_bearingnihal-17;6800Z_19x10x5_bearingnihal-20,Coordinate System5,Axis7,fl_abd_j,revolute,0.147,0.06,0.00025,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
fl_hip_l,4.17772559008212E-06,-0.000648504490293435,-0.072465598710684,0,0,0,0.154380152665205,0.000598625111841996,-2.04641666260035E-19,4.54635968666252E-09,0.000621887595621328,1.13123252580396E-06,2.73034985170953E-05,0,0,0,0,0,0,package://svan_metal/meshes/fl_hip_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/fl_hip_l.STL,,thigh_1_M3nihal-5;thigh_2_M3nihal-5;Hip pulley smallnihal-5;feather key 15x4x4_M2Pnihal-5;Beltnihal-5;skf_bearing_nk_5_12_tn_2_M2nihal-9;skf_bearing_nk_5_12_tn_2_M2nihal-10;6800Z_19x10x5_bearingnihal-18;6800Z_19x10x5_bearingnihal-19,Coordinate System6,Axis8,fl_hip_j,revolute,0.043751,0.0811,0,0,0,0,fl_abd_l,0,-1,0,0,0,0,0,,,,,,,,
fl_knee_l,-0.00182497233457898,2.12677098154757E-15,-0.0782926582913311,0,0,0,0.0714375161305773,0.00030860672342829,-1.35304893185324E-19,1.69438755874448E-05,0.000317892922808659,2.46330370118598E-19,1.22881464810671E-05,0,0,0,0,0,0,package://svan_metal/meshes/fl_knee_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/fl_knee_l.STL,,Shank_subassemblynihal-5/Shank_metal_avinihal-1,Coordinate System7,Axis9,fl_knee_j,revolute,0,0,-0.1915,0,0,0,fl_hip_l,0,-1,0,0,0,0,0,,,,,,,,
fl_foot,-0.00255665571349586,0.000177664859149294,-0.00416828819916104,0,0,0,0.02330476409568,2.61863706521836E-06,-1.45821905463068E-08,3.71204090805331E-07,2.61538387349993E-06,-2.36516627441156E-08,2.9962808728336E-06,0,0,0,0,0,0,package://svan_metal/meshes/fl_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://svan_metal/meshes/fl_foot.STL,,Shank_subassemblynihal-5/Foot_M3nihal-2,Coordinate System14,,fl_foot_j,fixed,-0.0035143,0,-0.1901,0,0,0,fl_knee_l,0,0,0,,,,,,,,,,,,
fr_abd_l,0.0421173189930007,-0.0775888101222744,0.000761258582500035,0,0,0,1.17555574137517,0.000455949143802871,1.40310338382562E-06,-1.11756188357651E-06,0.000755927689182406,-9.44884366004377E-09,0.000436097751864311,0,0,0,0,0,0,package://svan_metal/meshes/fr_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_metal/meshes/fr_abd_l.STL,,Knee_actuatorM3_avnihal-6;6800Z_19x10x5_bearingnihal-21;6800Z_19x10x5_bearingnihal-24;Hip_actuatorM3_avnihal-6;Hip link mount_M2Pnihal-6;M3x10_countershunknihal-16;IS 2269 - M3 x 6-N-21;act_mount_3nihal-6;M3X8 Button allen headnihal-32;M3X8 Button allen headnihal-33;abd_couple_M2Pnihal-9;F688ZZ_16x8x5)bearingnihal-6,Coordinate System2,Axis4,fr_abd_j,revolute,0.147,-0.06,0.00025,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
fr_hip_l,-4.17772558994334E-06,0.00064850449029763,-0.0724655987106836,0,0,0,0.154380152665205,0.000598625111841994,-2.17399483702107E-19,-4.54635968623089E-09,0.000621887595621326,-1.1312325258039E-06,2.73034985170953E-05,0,0,0,0,0,0,package://svan_metal/meshes/fr_hip_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/fr_hip_l.STL,,thigh_1_M3nihal-6;thigh_2_M3nihal-6;Hip pulley smallnihal-6;feather key 15x4x4_M2Pnihal-6;6800Z_19x10x5_bearingnihal-22;Beltnihal-6;skf_bearing_nk_5_12_tn_2_M2nihal-11;6800Z_19x10x5_bearingnihal-23;skf_bearing_nk_5_12_tn_2_M2nihal-12,Coordinate System3,Axis5,fr_hip_j,revolute,0.043751,-0.0811,0,0,0,0,fr_abd_l,0,-1,0,0,0,0,0,,,,,,,,
fr_knee_l,-0.00182497233457815,0,-0.0782926582913312,0,0,0,0.0714375161305768,0.000308606723428288,-1.36932541821506E-19,1.69438755874448E-05,0.000317892922808657,3.03559375071166E-19,1.22881464810671E-05,0,0,0,0,0,0,package://svan_metal/meshes/fr_knee_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/fr_knee_l.STL,,Shank_subassemblynihal-6/Shank_metal_avinihal-1,Coordinate System4,Axis6,fr_knee_j,revolute,0,0,-0.1915,0,0,0,fr_hip_l,0,1,0,0,0,0,0,,,,,,,,
fr_foot,-0.00255665571349153,0.000177664859148219,-0.00416828819916459,0,0,0,0.0233047640956825,2.61863706521947E-06,-1.45821905464705E-08,3.71204090805764E-07,2.61538387350007E-06,-2.36516627442335E-08,2.99628087283262E-06,0,0,0,0,0,0,package://svan_metal/meshes/fr_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://svan_metal/meshes/fr_foot.STL,,Shank_subassemblynihal-6/Foot_M3nihal-2,Coordinate System15,,fr_foot_j,fixed,-0.0035143,0,-0.1901,0,0,0,fr_knee_l,0,0,0,,,,,,,,,,,,
rl_abd_l,-0.0424482409636266,0.0782211539671649,0.000761258582499737,0,0,0,1.17555574137517,0.00045594914380287,1.40310338382544E-06,-1.11756188357694E-06,0.000755927689182406,-9.44884366005893E-09,0.000436097751864309,0,0,0,0,0,0,package://svan_metal/meshes/rl_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_metal/meshes/rl_abd_l.STL,,Knee_actuatorM3_avnihal-3;6800Z_19x10x5_bearingnihal-9;Hip_actuatorM3_avnihal-3;Hip link mount_M2Pnihal-3;F688ZZ_16x8x5)bearingnihal-3;M3x10_countershunknihal-7;IS 2269 - M3 x 6-N-9;act_mount_3nihal-3;M3X8 Button allen headnihal-14;M3X8 Button allen headnihal-15;abd_couple_M2Pnihal-6;6800Z_19x10x5_bearingnihal-12,Coordinate System8,Axis10,rl_abd_j,revolute,-0.147,0.06,0.00025,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
rl_hip_l,-4.17772559141438E-06,0.000648504490297488,-0.0724655987106837,0,0,0,0.154380152665205,0.000598625111841996,-2.41421634500514E-19,-4.54635968714857E-09,0.000621887595621328,-1.1312325258039E-06,2.73034985170953E-05,0,0,0,0,0,0,package://svan_metal/meshes/rl_hip_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/rl_hip_l.STL,,thigh_1_M3nihal-3;thigh_2_M3nihal-3;Hip pulley smallnihal-3;feather key 15x4x4_M2Pnihal-3;6800Z_19x10x5_bearingnihal-10;Beltnihal-3;skf_bearing_nk_5_12_tn_2_M2nihal-5;6800Z_19x10x5_bearingnihal-11;skf_bearing_nk_5_12_tn_2_M2nihal-6,Coordinate System9,Axis11,rl_hip_j,revolute,-0.043751,0.0796,0,0,0,0,rl_abd_l,0,-1,0,0,0,0,0,,,,,,,,
rl_knee_l,-0.00182497233457887,-2.08166817117217E-17,-0.0782926582913311,0,0,0,0.0714375161305775,0.000308606723428292,-1.26601446024501E-19,1.69438755874449E-05,0.000317892922808661,2.54170665592658E-19,1.22881464810672E-05,0,0,0,0,0,0,package://svan_metal/meshes/rl_knee_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/rl_knee_l.STL,,Shank_subassemblynihal-3/Shank_metal_avinihal-1,Coordinate System10,Axis12,rl_knee_j,revolute,0,0,-0.1915,0,0,0,rl_hip_l,0,1,0,0,0,0,0,,,,,,,,
rl_foot,-0.00255665571349864,0.000177664859151197,-0.00416828819916071,0,0,0,0.0233047640956841,2.6186370652178E-06,-1.45821905459607E-08,3.71204090804919E-07,2.61538387350021E-06,-2.36516627437369E-08,2.99628087283444E-06,0,0,0,0,0,0,package://svan_metal/meshes/rl_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://svan_metal/meshes/rl_foot.STL,,Shank_subassemblynihal-3/Foot_M3nihal-2,Coordinate System16,,rl_foot_j,fixed,-0.0035143,0,-0.1901,0,0,0,rl_knee_l,0,0,0,,,,,,,,,,,,
rr_abd_l,-0.0424482409636248,-0.0775888101222774,0.000761258582500424,0,0,0,1.17555574137517,0.000455949143802875,-1.37161711561015E-06,-1.11756188357664E-06,0.000755927689182405,-9.44884365988644E-09,0.000436097751864314,0,0,0,0,0,0,package://svan_metal/meshes/rr_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_metal/meshes/rr_abd_l.STL,,Knee_actuatorM3_avnihal-4;6800Z_19x10x5_bearingnihal-13;Hip_actuatorM3_avnihal-4;Hip link mount_M2Pnihal-4;F688ZZ_16x8x5)bearingnihal-4;M3x10_countershunknihal-10;IS 2269 - M3 x 6-N-13;act_mount_3nihal-4;M3X8 Button allen headnihal-20;M3X8 Button allen headnihal-21;abd_couple_M2Pnihal-7;6800Z_19x10x5_bearingnihal-16,Coordinate System11,Axis13,rr_abd_j,revolute,-0.147,-0.06,0.00025,0,0,0,base,-1,0,0,0,0,0,0,,,,,,,,
rr_hip_l,-4.17772558983232E-06,0.000648504490295299,-0.0724655987106839,0,0,0,0.154380152665205,0.000598625111841996,-2.5916198778874E-19,-4.5463596865821E-09,0.000621887595621328,-1.13123252580373E-06,2.73034985170953E-05,0,0,0,0,0,0,package://svan_metal/meshes/rr_hip_l.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://svan_metal/meshes/rr_hip_l.STL,,thigh_2_M3nihal-4;thigh_1_M3nihal-4;Hip pulley smallnihal-4;feather key 15x4x4_M2Pnihal-4;6800Z_19x10x5_bearingnihal-14;Beltnihal-4;skf_bearing_nk_5_12_tn_2_M2nihal-7;6800Z_19x10x5_bearingnihal-15;skf_bearing_nk_5_12_tn_2_M2nihal-8,Coordinate System12,Axis14,rr_hip_j,revolute,-0.043751,-0.0811,0,0,0,0,rr_abd_l,0,1,0,0,0,0,0,,,,,,,,
rr_knee_l,-0.0018249723345781,1.11022302462516E-16,-0.0782926582913303,0,0,0,0.0714375161305773,0.000308606723428291,-1.25539078803107E-19,1.69438755874448E-05,0.00031789292280866,2.77413909755101E-19,1.22881464810672E-05,0,0,0,0,0,0,package://svan_metal/meshes/rr_knee_l.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://svan_metal/meshes/rr_knee_l.STL,,Shank_subassemblynihal-4/Shank_metal_avinihal-1,Coordinate System13,Axis15,rr_knee_j,revolute,0,0,-0.1915,0,0,0,rr_hip_l,0,-1,0,0,0,0,0,,,,,,,,
rr_foot,-0.00255665571348271,0.000177664859150994,-0.0041682881991339,0,0,0,0.0233047640956033,2.61863706521477E-06,-1.45821905466089E-08,3.71204090807504E-07,2.6153838734945E-06,-2.36516627439762E-08,2.99628087283155E-06,0,0,0,0,0,0,package://svan_metal/meshes/rr_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://svan_metal/meshes/rr_foot.STL,,Shank_subassemblynihal-4/Foot_M3nihal-2,Coordinate System17,,rr_foot_j,fixed,-0.0035143,0,-0.1901,0,0,0,rr_knee_l,0,0,0,,,,,,,,,,,,
